idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
1317,106.7,-38.96689824657369,-31.33019056822304,-15,2.1872599227710605,-2.7204026947692643,0,0.18991993601539994,0.1526995489970876,0,0,70,nan,nan,nan
1318,106.80000000000001,-38.747224435208985,-31.60146513324254,-15,2.2061984601170836,-2.705066569614388,0,0.1888492725015979,0.15402170832588763,0,0,70,nan,nan,nan
1319,106.9,-38.52566213878945,-31.8711994874345,-15,2.2250294704626445,-2.689598603331186,0,0.1877694047406805,0.15533636085391628,0,0,70,nan,nan,nan
1320,107.0,-38.302222155948904,-32.13938048432696,-15,2.243752036010861,-2.6739995498065174,0,0.18668038536387932,0.1566434425068636,0,0,70,nan,nan,nan
1321,107.1,-38.07691537683684,-32.405995053156545,-15,2.262365244250306,-2.658270169316241,0,0.18558226744846218,0.15794288957941421,0,0,70,nan,nan,nan
1322,107.2,-37.84975278258782,-32.67103019950527,-15,2.280868187999467,-2.642411228488172,0,0.18447510451514712,0.15923463873835086,0,0,70,nan,nan,nan
1323,107.30000000000001,-37.620745444786216,-32.934473005934024,-15,2.2992599654509704,-2.6264235002647123,0,0.18335895052549356,0.160518627025642,0,0,70,nan,nan,nan
1324,107.4,-37.38990452492658,-33.1963106326121,-15,2.317539680215531,-2.61030776386518,0,0.1822338598792722,0.16179479186151002,0,0,70,nan,nan,nan
1325,107.5,-37.157241273869715,-33.456530317942914,-15,2.3357064413656365,-2.5940648047478345,0,0.18109988741181418,0.16306307104748097,0,0,70,nan,nan,nan
1326,107.6,-36.92276703129421,-33.715119379186156,-15,2.3537593634789795,-2.577695414571584,0,0.17995708839133745,0.16432340276941668,0,0,70,nan,nan,nan
1327,107.7,-36.68649322514382,-33.97206521307582,-15,2.3716975666816085,-2.5612003911574117,0,0.178805518516254,0.16557572560052733,0,0,70,nan,nan,nan
1328,107.80000000000001,-36.44843137107056,-34.22735529643445,-15,2.389520176690804,-2.5445805384494897,0,0.17764523391245501,0.16681997850436475,0,0,70,nan,nan,nan
1329,107.9,-36.20859307187337,-34.48097718678349,-15,2.407226324857695,-2.527836666475993,0,0.17647629113057536,0.16805610083779757,0,0,70,nan,nan,nan
1330,108.0,-35.966990016932556,-34.732918522949866,-15,2.4248151482096034,-2.5109695913096166,0,0.17529874714323682,0.16928403235396744,0,0,70,nan,nan,nan
1331,108.1,-35.72363398164017,-34.98316702566827,-15,2.442285789492092,-2.49398013502781,0,0.17411265934227216,0.17050371320522453,0,0,70,nan,nan,nan
1332,108.2,-35.478536826826044,-35.23171049817974,-15,2.459637397210752,-2.4768691256727027,0,0.1729180855359275,0.17171508394604487,0,0,70,nan,nan,nan
1333,108.30000000000001,-35.23171049817973,-35.478536826826044,-15,2.4768691256727027,-2.4596373972107517,0,0.17171508394604484,0.1729180855359275,0,0,70,nan,nan,nan
1334,108.4,-34.983167025668266,-35.72363398164018,-15,2.4939801350278104,-2.4422857894920913,0,0.1705037132052245,0.1741126593422722,0,0,70,nan,nan,nan
1335,108.5,-34.73291852294988,-35.96699001693254,-15,2.5109695913096157,-2.4248151482096043,0,0.1692840323539675,0.17529874714323676,0,0,70,nan,nan,nan
1336,108.6,-34.480977186783484,-36.20859307187338,-15,2.5278366664759933,-2.407226324857694,0,0.16805610083779754,0.1764762911305754,0,0,70,nan,nan,nan
1337,108.7,-34.227355296434446,-36.44843137107057,-15,2.5445805384494897,-2.3895201766908034,0,0.16681997850436472,0.17764523391245507,0,0,70,nan,nan,nan
1338,108.80000000000001,-33.97206521307582,-36.68649322514382,-15,2.5612003911574117,-2.3716975666816085,0,0.16557572560052733,0.178805518516254,0,0,70,nan,nan,nan
1339,108.9,-33.71511937918615,-36.92276703129421,-15,2.577695414571584,-2.3537593634789795,0,0.16432340276941665,0.17995708839133745,0,0,70,nan,nan,nan
1340,109.0,-33.45653031794292,-37.1572412738697,-15,2.594064804747833,-2.335706441365637,0,0.163063071047481,0.1810998874118141,0,0,70,nan,nan,nan
1341,109.1,-33.196310632612075,-37.3899045249266,-15,2.6103077638651815,-2.3175396802155297,0,0.16179479186150994,0.18223385987927232,0,0,70,nan,nan,nan
1342,109.2,-32.93447300593402,-37.62074544478622,-15,2.6264235002647127,-2.29925996545097,0,0.16051862702564199,0.18335895052549359,0,0,70,nan,nan,nan
1343,109.30000000000001,-32.67103019950528,-37.849752782587814,-15,2.642411228488171,-2.280868187999468,0,0.15923463873835095,0.1844751045151471,0,0,70,nan,nan,nan
1344,109.4,-32.40599505315654,-38.076915376836844,-15,2.6582701693162414,-2.2623652442503057,0,0.1579428895794142,0.1855822674484622,0,0,70,nan,nan,nan
1345,109.5,-32.13938048432697,-38.3022221559489,-15,2.673999549806517,-2.2437520360108616,0,0.15664344250686366,0.1866803853638793,0,0,70,nan,nan,nan
1346,109.6,-31.871199487434478,-38.52566213878947,-15,2.6895986033311874,-2.2250294704626428,0,0.15533636085391617,0.1877694047406806,0,0,70,nan,nan,nan
1347,109.7,-31.601465133242552,-38.74722443520897,-15,2.705066569614387,-2.206198460117084,0,0.15402170832588769,0.18884927250159783,0,0,70,nan,nan,nan
1348,109.80000000000001,-31.330190568223017,-38.96689824657371,-15,2.720402694769266,-2.187259922771059,0,0.1526995489970875,0.18991993601540005,0,0,70,nan,nan,nan
1349,109.9,-31.057389013915493,-39.18467286629201,-15,2.7356062313347174,-2.1682147814621615,0,0.15136994730769612,0.19098134309945797,0,0,70,nan,nan,nan
1350,110.0,-30.783073766282904,-39.40053768033611,-15,2.7506764383118165,-2.1490639644237124,0,0.15003296806062424,0.19203344202228756,0,0,70,nan,nan,nan
