idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
1811,171.42842712474618,20.287858965127718,-12.785081915886131,-20,1.193024099306492,0.5386710357668856,0,-0.028204749477780875,0.062466595765614245,0,0,70,nan,nan,nan
1812,171.5284271247462,20.40701980651002,-12.730902726176716,-20,1.1901872835670162,0.5449102828315893,0,-0.02853143569015429,0.062318060440835495,0,0,70,nan,nan,nan
1813,171.6284271247462,20.525895334187283,-12.676100357286622,-20,1.1873178382419423,0.5511345909056308,0,-0.028857339698805762,0.06216781663495,0,0,70,nan,nan,nan
1814,171.7284271247462,20.644482289126834,-12.620676311650477,-20,1.1844158419985633,0.5573437893464589,0,-0.029182452568912207,0.06201586846696759,0,0,70,nan,nan,nan
1815,171.82842712474618,20.76277742020737,-12.564632108746519,-20,1.1814813743965737,0.5635377079257596,0,-0.029506765387339956,0.061862220102624134,0,0,70,nan,nan,nan
1816,171.92842712474618,20.88077748430819,-12.507969285054834,-20,1.178514515885883,0.5697161768341308,0,-0.029830269262889477,0.061706875754267025,0,0,70,nan,nan,nan
1817,172.0284271247462,20.998479246397878,-12.450689394015392,-20,1.1755153478044174,0.5758790266857229,0,-0.030152955326538455,0.06154983968074013,0,0,70,nan,nan,nan
1818,172.1284271247462,21.115879479623196,-12.392794005985316,-20,1.1724839523758837,0.5820260885228962,0,-0.030474814731685555,0.061391116187266684,0,0,70,nan,nan,nan
1819,172.2284271247462,21.232974965397418,-12.334284708195938,-20,1.1694204127075203,0.5881571938208431,0,-0.03079583865439248,0.061230709625331496,0,0,70,nan,nan,nan
1820,172.32842712474618,21.349762493488665,-12.2751631047092,-20,1.1663248127878139,0.594272174492216,0,-0.031116018293626292,0.06106862439256145,0,0,70,nan,nan,nan
1821,172.42842712474618,21.466238862107883,-12.215430816373715,-20,1.1631972374841992,0.6003708628917318,0,-0.0314353448715005,0.06090486493260505,0,0,70,nan,nan,nan
1822,172.5284271247462,21.582400877996545,-12.155089480780369,-20,1.1600377725407351,0.6064530918207652,0,-0.03175380963351554,0.060739435735010686,0,0,70,nan,nan,nan
1823,172.6284271247462,21.69824535651435,-12.094140752217328,-20,1.156846504575747,0.6125186945319396,0,-0.03207140384879921,0.0605723413351033,0,0,70,nan,nan,nan
1824,172.7284271247462,21.813769121726356,-12.0325863016248,-20,1.1536235210794596,0.618567504733691,0,-0.032388118810345555,0.06040358631386034,0,0,70,nan,nan,nan
1825,172.82842712474618,21.92896900649021,-11.970427816549133,-20,1.1503689104115933,0.624599356594833,0,-0.032703945835253975,0.06023317529778594,0,0,70,nan,nan,nan
1826,172.92842712474618,22.043841852542876,-11.907667001096595,-20,1.1470827617989434,0.6306140847490996,0,-0.033018876264967044,0.06006111295878418,0,0,70,nan,nan,nan
1827,173.0284271247462,22.158384510587247,-11.84430557588664,-20,1.1437651653329337,0.6366115242996805,0,-0.033332901465507936,0.059887404014031,0,0,70,nan,nan,nan
1828,173.1284271247462,22.272593840378537,-11.780345278004727,-20,1.1404162119671466,0.6425915108237426,0,-0.033646012827717266,0.059712053225844795,0,0,70,nan,nan,nan
1829,173.2284271247462,22.386466710810197,-11.715787860954777,-20,1.1370359935148322,0.6485538803769307,0,-0.03395820176748865,0.05953506540155615,0,0,70,nan,nan,nan
