idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
665,62.5,10.68516913793005,14.14213562373095,-15,0.6285393610547089,0,0,0,0.025900957667984472,0,0,70,nan,nan,nan
666,62.6,10.74802307403552,14.14213562373095,-15,0.6285393610547089,0,0,0,0.025973383038395293,0,0,70,nan,nan,nan
667,62.7,10.810877010140993,14.14213562373095,-15,0.6285393610547089,0,0,0,0.0260445425027598,0,0,70,nan,nan,nan
668,62.800000000000004,10.873730946246463,14.14213562373095,-15,0.6285393610547089,0,0,0,0.02611443259286609,0,0,70,nan,nan,nan
669,62.900000000000006,10.936584882351934,14.14213562373095,-15,0.6285393610547089,0,0,0,0.026183049902369773,0,0,70,nan,nan,nan
670,63.0,10.999438818457405,14.14213562373095,-15,0.6285393610547089,0,0,0,0.026250391086959986,0,0,70,nan,nan,nan
671,63.1,11.062292754562877,14.14213562373095,-15,0.6285393610547089,0,0,0,0.026316452864522402,0,0,70,nan,nan,nan
672,63.2,11.125146690668346,14.14213562373095,-15,0.6285393610547089,0,0,0,0.02638123201529918,0,0,70,nan,nan,nan
673,63.300000000000004,11.188000626773817,14.14213562373095,-15,0.6285393610547089,0,0,0,0.0264447253820459,0,0,70,nan,nan,nan
674,63.400000000000006,11.250854562879288,14.14213562373095,-15,0.6285393610547089,0,0,0,0.026506929870185443,0,0,70,nan,nan,nan
675,63.5,11.31370849898476,14.14213562373095,-15,0.6285393610547089,0,0,0,0.026567842447958807,0,0,70,nan,nan,nan
676,63.6,11.37656243509023,14.14213562373095,-15,0.6285393610547089,0,0,0,0.026627460146572902,0,0,70,nan,nan,nan
677,63.7,11.439416371195701,14.14213562373095,-15,0.6285393610547089,0,0,0,0.02668578006034519,0,0,70,nan,nan,nan
678,63.800000000000004,11.502270307301172,14.14213562373095,-15,0.6285393610547089,0,0,0,0.02674279934684536,0,0,70,nan,nan,nan
679,63.900000000000006,11.565124243406643,14.14213562373095,-15,0.6285393610547089,0,0,0,0.026798515227033828,0,0,70,nan,nan,nan
680,64.0,11.627978179512114,14.14213562373095,-15,0.6285393610547089,0,0,0,0.026852924985397184,0,0,70,nan,nan,nan
681,64.1,11.690832115617585,14.14213562373095,-15,0.6285393610547089,0,0,0,0.026906025970080596,0,0,70,nan,nan,nan
682,64.2,11.753686051723056,14.14213562373095,-15,0.6285393610547089,0,0,0,0.026957815593016965,0,0,70,nan,nan,nan
683,64.30000000000001,11.816539987828527,14.14213562373095,-15,0.6285393610547089,0,0,0,0.02700829133005313,0,0,70,nan,nan,nan
684,64.4,11.879393923933996,14.14213562373095,-15,0.6285393610547089,0,0,0,0.02705745072107289,0,0,70,nan,nan,nan
685,64.5,11.942247860039469,14.14213562373095,-15,0.6285393610547089,0,0,0,0.027105291370116868,0,0,70,nan,nan,nan
686,64.6,12.00510179614494,14.14213562373095,-15,0.6285393610547089,0,0,0,0.027151810945499334,0,0,70,nan,nan,nan
687,64.7,12.067955732250411,14.14213562373095,-15,0.6285393610547089,0,0,0,0.02719700717992181,0,0,70,nan,nan,nan
688,64.80000000000001,12.13080966835588,14.14213562373095,-15,0.6285393610547089,0,0,0,0.027240877870583585,0,0,70,nan,nan,nan
689,64.9,12.193663604461351,14.14213562373095,-15,0.6285393610547089,0,0,0,0.027283420879289103,0,0,70,nan,nan,nan
690,65.0,12.256517540566824,14.14213562373095,-15,0.6285393610547089,0,0,0,0.027324634132552122,0,0,70,nan,nan,nan
691,65.1,12.319371476672293,14.14213562373095,-15,0.6285393610547089,0,0,0,0.02736451562169683,0,0,70,nan,nan,nan
692,65.2,12.382225412777764,14.14213562373095,-15,0.6285393610547089,0,0,0,0.027403063402955712,0,0,70,nan,nan,nan
693,65.30000000000001,12.445079348883235,14.14213562373095,-15,0.6285393610547089,0,0,0,0.027440275597564297,0,0,70,nan,nan,nan
694,65.4,12.507933284988706,14.14213562373095,-15,0.6285393610547089,0,0,0,0.027476150391852704,0,0,70,nan,nan,nan
695,65.5,12.570787221094177,14.14213562373095,-15,0.6285393610547089,0,0,0,0.02751068603733408,0,0,70,nan,nan,nan
696,65.6,12.633641157199648,14.14213562373095,-15,0.6285393610547089,0,0,0,0.02754388085078979,0,0,70,nan,nan,nan
697,65.7,12.696495093305119,14.14213562373095,-15,0.6285393610547089,0,0,0,0.027575733214351448,0,0,70,nan,nan,nan
698,65.80000000000001,12.75934902941059,14.14213562373095,-15,0.6285393610547089,0,0,0,0.0276062415755798,0,0,70,nan,nan,nan
699,65.9,12.82220296551606,14.14213562373095,-15,0.6285393610547089,0,0,0,0.02763540444754035,0,0,70,nan,nan,nan
700,66.0,12.885056901621532,14.14213562373095,-15,0.6285393610547089,0,0,0,0.027663220408875873,0,0,70,nan,nan,nan
701,66.1,12.947910837727003,14.14213562373095,-15,0.6285393610547089,0,0,0,0.02768968810387565,0,0,70,nan,nan,nan
